 				Name 	OVA 	ATT 	MID 	DEF 	SAA 	TAA 	IP 	DP 	Hits
	 		
	 		England		80 	79 	80 	80 	25.82 	25.35 	16 	20 	906
	 		France		82 	80 	82 	81 	26.91 	26.65 	18 	20 	859
	 		Germany		84 	80 	84 	81 	25.82 	25.22 	20 	20 	709
	 		Spain		84 	83 	85 	83 	27.91 	26.13 	19 	20 	695
	 		Belgium		81 	81 	82 	79 	25.64 	26.00 	14 	20 	648
	 		Italy		81 	77 	81 	81 	27.36 	27.35 	18 	20 	576
	 		Netherlands	80 	81 	79 	76 	25.27 	24.65 	17 	20 	435
	 		Portugal	81 	85 	81 	79 	28.09 	27.91 	16 	20 	374 
			Poland		76 	87 	72 	73 	26.09 	26.43 	11 	20 	332
	 		Switzerland	78 	78 	76 	78 	25.09 	25.00 	11 	20 	234
	 		Turkey		77 	77 	77 	76 	24.91 	25.35 	13 	20 	227
	 		Sweden		75 	78 	73 	74 	28.36 	26.78 	11 	20 	215
	 		Denmark		76 	76 	75 	75 	25.18 	26.22 	11 	20 	183
	 		Austria		74 	71 	76 	74 	26.45 	25.91 	9 	20 	178
	 		Wales		74 	74 	75 	73 	25.73 	25.96 	9 	20 	166
	 		Russia		77 	80 	76 	76 	30.27 	28.39 	12 	20 	155
	 		Greece		76 	76 	73 	78 	28.27 	25.91 	13 	20 	138
	 		Norway		72 	74 	72 	72 	23.82 	24.52 	9 	20 	117
	 		Ireland		75 	76 	74 	74 	27.64 	28.65 	10 	20 	112
	 		Scotland	74 	76 	74 	72 	27.09 	28.22 	9 	20 	110
	 		Hungary		71 	73 	71 	69 	28.82 	27.30 	9 	20 	107
	 		Romania		73 	71 	72 	73 	28.73 	27.57 	11 	20 	88
	 		Czech Republic	73 	69 	68 	72 	26.91 	26.30 	11 	20 	87
	 		Slovenia	74 	73 	73 	73 	29.09 	27.78 	10 	20 	86
	 		Finland		70 	69 	68 	68 	25.09 	25.96 	6 	20 	60
	 		Northern Ireland70 	70 	70 	70 	28.00 	27.39 	5 	20 	55
			Bulgaria	69 	68 	70 	68 	28.00 	27.43 	10 	20 	41 
